# Frequenz [Hz]	Amplitude
86200000	4.9513061387998E-6
86300000	1.15087919835295E-5
86400000	5.22605487322061E-6
86500000	1.48618424493943E-5
86600000	1.11726495316131E-5
86700000	1.39896178126901E-5
86800000	5.78717517999022E-6
86900000	9.96085966411489E-6
87000000	2.31540499115893E-6
87100000	1.06996471649231E-5
87200000	9.19805048669751E-6
87300000	8.60842727188443E-6
87400000	1.81458621600846E-5
87500000	2.58272346405901E-6
87600000	1.06741064250596E-5
87700000	1.90998827785855E-5
87800000	1.48106212510439E-5
87900000	2.92284868341404E-6
88000000	3.10915274363592E-6
88100000	9.26228231256494E-6
88200000	1.03423174292841E-5
88300000	1.90198530480382E-5
88400000	5.97742038654066E-6
88500000	7.94121194944436E-6
88600000	8.95363043392776E-6
88700000	1.6550647255181E-6
88800000	1.55675265454847E-5
88900000	4.54140543659618E-6
89000000	1.84808097575609E-6
89100000	8.70673834246515E-6
89200000	8.72342534727492E-6
89300000	9.09772195499539E-6
89400000	3.95258594103918E-6
89500000	9.50039701188109E-6
89600000	2.50703132407819E-6
89700000	8.89592315171948E-6
89800000	8.04834588804323E-6
89900000	2.48091640361004E-6
90000000	1.13546829006716E-5
90100000	1.68920228643258E-5
90200000	9.19667316420487E-7
90300000	3.81235720605074E-6
90400000	9.11755024651577E-6
90500000	3.10177609575041E-6
90600000	5.66027449913503E-6
90700000	5.87091677840558E-6
90800000	7.7355826343714E-6
90900000	6.08072878372341E-6
91000000	9.14746686660667E-6
91100000	8.53185154670849E-6
91200000	9.20891553625437E-6
91300000	1.20050790774854E-6
91400000	1.31968877519051E-5
91500000	8.69446751941357E-6
91600000	9.74476277674691E-6
91700000	3.33055854058799E-6
91800000	5.37533310270597E-6
91900000	1.24208434624246E-5
92000000	3.3411434432005E-6
92100000	7.41679576406914E-6
92200000	9.33561896380103E-6
92300000	1.94832132748348E-6
92400000	7.9241379389553E-6
92500000	6.61803423695016E-6
92600000	1.4616414922778E-5
92700000	5.86657745146516E-6
92800000	6.89268061053251E-6
92900000	4.01252021183402E-6
93000000	1.19141081092177E-5
