# 19:25 - 20:05 -> 30 min
# Number	beat-frequency [MHz]	sigma [MHz]
320	16.8422	1.162
321	2.20642	1.71237
322	3.67589	2.69961
323	8.30924	0.936527
324	13.8725	1.21804
325	15.5204	0.881717
326	18.977	0.818885
329	16.2274	0.870751
331	15.6505	0.744012
332	21.6557	0.859829
333	22.5893	0.651435
334	9.38161	1.12889
335	16.3808	0.978011
336	20.2721	1.02165
337	21.9905	0.758638
338	19.8927	1.05844
339	20.3947	1.03252
340	21.8844	1.0083
341	5.90477	1.38635
342	11.6186	0.998444
343	7.71434	1.01322
344	19.4587	0.715772
345	8.79986	0.893892
346	22.7365	0.72598
347	11.499	1.11897
348	17.9375	1.09932
349	9.85993	1.0731
350	20.7609	0.803059
351	7.46027	0.832988
352	13.1423	1.11986
353	22.6874	0.743301
354	14.4869	1.1047
355	19.5709	0.717999
357	24.2552	0.596328
358	20.8785	0.721427
359	8.79711	1.25913
361	23.498	0.573192
363	18.9145	1.08137
364	16.3792	0.77907
365	16.2959	0.735403
366	11.6645	0.912108
367	22.3351	0.697059
368	20.9929	1.00374
369	6.3684	1.21106
370	14.0702	0.925407
371	25.4979	0.668952
372	25.4236	0.90206
373	26.8976	0.755583
374	18.3492	0.819152
375	19.764	0.654745
377	2.43746	1.58295
379	13.4305	0.94002
380	10.6509	0.94395
381	14.9668	1.03558
382	18.477	0.957863
383	21.4326	0.823425
384	20.2085	0.948078
386	26.7507	0.884879
387	13.035	0.908174
388	11.561	1.07919
389	16.3657	0.843449
392	13.6496	1.02301
393	16.572	1.13875
394	10.1434	0.914176
395	26.4696	0.677033
396	20.4229	0.691213
397	14.0541	1.25641
399	11.426	1.13091
400	22.0375	0.853025
401	11.1819	1.1131
402	15.5598	0.77849
403	17.1197	1.04308
405	10.3106	0.878734
406	11.5839	1.16748
407	17.9841	0.757366
408	20.0574	0.843165
409	20.8871	0.899759
410	8.75513	0.885588
411	19.0301	1.13115
412	3.93842	2.3503
413	13.717	0.89244
414	4.35061	3.64897
415	16.2983	0.83851
416	13.464	0.907667
417	23.0722	0.589036
418	19.6829	0.757479
421	5.37163	1.30994
422	16.3247	1.02094
423	22.3964	0.736747
424	27.7701	0.555302
425	22.9751	0.777424
426	10.2637	0.979077
427	14.425	1.03615
428	16.7083	0.905959
430	18.6616	1.04867
431	30.0558	0.702736
432	26.5099	0.594147
433	14.9577	0.880462
434	14.5197	0.983118
436	12.4609	1.08988
437	23.7833	0.629806
438	13.5821	0.923942
439	17.8164	1.10295
440	18.2893	0.820724
441	22.6622	1.01658
443	25.8533	0.567532
444	2.20949	1.57101
446	19.8875	0.647161
447	16.1231	1.09644
448	18.3077	0.638665
449	17.6287	0.977339
450	10.2975	0.712089
451	17.1183	0.826924
452	16.3202	0.760231
453	17.286	1.10734
455	20.6039	0.735336
457	19.4907	1.0185
458	26.5969	0.630852
459	8.91412	0.773566
460	12.0063	1.36868
461	13.9891	0.95527
462	10.2276	1.053
463	23.1303	0.665011
464	19.8428	0.664045
465	11.6746	0.963331
466	12.7623	0.837726
467	20.4874	0.666217
468	13.154	0.815446
469	7.02394	1.17176
470	10.8626	0.932046
471	10.7906	1.18432
472	1.79921	1.77088
473	9.50931	1.04136
474	6.66421	1.13496
475	25.3433	0.74951
476	26.5238	0.614329
477	9.01013	0.861837
478	19.0571	0.900789
479	24.6801	0.910388
480	12.7432	0.960942
481	15.5464	0.988979
483	15.9846	1.10463
484	12.1251	0.979957
485	9.30343	0.932997
486	23.5698	0.852719
487	22.9904	0.655584
488	3.53712	2.82753
489	22.4038	0.682612
490	20.3698	0.951132
491	13.0865	1.03681
492	2.9594	2.54162
493	3.50459	2.60603
494	15.9061	0.823439
495	17.5621	1.0223
496	24.3074	0.674101
497	12.0709	1.04162
498	9.14843	0.858437
499	24.7775	0.582285
500	21.7825	0.824643
501	21.5651	0.945013
502	28.2634	0.571037
503	2.83435	1.96174
504	2.96042	2.26985
505	13.9266	1.2646
506	15.1735	0.645246
507	18.0244	0.74671
508	18.9351	0.973327
509	14.9738	0.922901
510	14.3916	0.782875
511	20.9973	0.728431
512	20.8227	0.67728
513	14.3576	0.9672
514	10.5719	1.10644
516	8.45702	1.13722
519	7.14624	1.05163
521	15.1622	0.909109
522	18.6308	0.769106
523	17.9581	0.86964
524	7.79717	1.01507
525	13.7556	1.14313
526	21.6615	0.926267
527	20.584	0.932713
528	13.8521	1.03043
529	16.5338	0.965341
530	26.0238	0.752106
531	22.8099	0.866432
532	24.6893	0.587717
533	15.5348	0.814026
534	11.4951	0.949727
535	6.56755	0.790263
536	28.8315	0.620674
537	10.476	0.809887
538	19.6629	0.825919
539	14.8179	0.837223
540	12.779	1.16292
541	18.1588	0.653416
542	22.7699	0.685978
