# binwidth: 1.02725047619
# bincount: 21
# frequRange: 1.41944 - 22.9917

# beat-frequency	occurence
1.41944	7
2.44669047619	5
3.47394095238	8
4.50119142857	9
5.52844190476	19
6.55569238095	22
7.58294285714	28
8.61019333333	45
9.63744380952	53
10.6646942857	59
11.6919447619	51
12.7191952381	38
13.7464457143	35
14.7736961905	22
15.8009466667	10
16.8281971429	7
17.855447619	4
18.8826980952	0
19.9099485714	1
20.9371990476	0
21.9644495238	0
