# Description:
# L1 - blau
# L2 - TA
#L3 - DL

# Properties:
# Laser 3 scanned in dimension 1, started @ 388.624216 THz
# Laser 1 fix @ 740.455913 THz
# Laser 2 fix @ 0.000000 THz


# laser 1 frequency [THz]	laser 2 frequency [THz]	laser 3 frequency [THz]	countrate
0.000000	0.000000	0.000146	16
0.000000	0.000000	0.000148	13
0.000000	0.000000	0.000150	10
0.000000	0.000000	0.000152	15
0.000000	0.000000	0.000154	5
0.000000	0.000000	0.000156	8
0.000000	0.000000	0.000158	8
0.000000	0.000000	0.000160	6
0.000000	0.000000	0.000162	13
0.000000	0.000000	0.000164	6
0.000000	0.000000	0.000166	15
0.000000	0.000000	0.000168	5
0.000000	0.000000	0.000170	10
0.000000	0.000000	0.000172	5
0.000000	0.000000	0.000174	12
0.000000	0.000000	0.000176	8
0.000000	0.000000	0.000178	9
0.000000	0.000000	0.000180	5
0.000000	0.000000	0.000182	8
0.000000	0.000000	0.000184	11
0.000000	0.000000	0.000186	3
0.000000	0.000000	0.000188	12
0.000000	0.000000	0.000190	10
0.000000	0.000000	0.000192	9
0.000000	0.000000	0.000194	10
0.000000	0.000000	0.000196	11
0.000000	0.000000	0.000198	12
0.000000	0.000000	0.000200	12
