#time [s]	amplitude [V]
-4.079450000000e-003	-1.61369e-002
-4.074250000000e-003	-2.41771e-002
-4.069050000000e-003	-2.01570e-002
-4.063850000000e-003	-2.01570e-002
-4.058650000000e-003	-2.01570e-002
-4.053450000000e-003	-2.01570e-002
-4.048250000000e-003	-2.01570e-002
-4.043050000000e-003	-2.01570e-002
-4.037850000000e-003	-2.41771e-002
-4.032650000000e-003	-2.41771e-002
-4.027450000000e-003	-1.61369e-002
-4.022250000000e-003	-2.01570e-002
-4.017050000000e-003	-2.01570e-002
-4.011850000000e-003	-2.01570e-002
-4.006650000000e-003	-2.01570e-002
-4.001450000000e-003	-1.61369e-002
-3.996250000000e-003	-2.01570e-002
-3.991050000000e-003	-2.01570e-002
-3.985850000000e-003	-2.41771e-002
-3.980650000000e-003	-2.01570e-002
-3.975450000000e-003	-2.01570e-002
-3.970250000000e-003	-2.01570e-002
-3.965050000000e-003	-2.01570e-002
-3.959850000000e-003	-2.41771e-002
-3.954650000000e-003	-1.61369e-002
-3.949450000000e-003	-2.01570e-002
-3.944250000000e-003	-1.21168e-002
-3.939050000000e-003	-2.01570e-002
-3.933850000000e-003	-1.61369e-002
-3.928650000000e-003	-2.01570e-002
-3.923450000000e-003	-2.41771e-002
-3.918250000000e-003	-1.61369e-002
-3.913050000000e-003	-1.61369e-002
-3.907850000000e-003	-1.61369e-002
-3.902650000000e-003	-2.01570e-002
-3.897450000000e-003	-2.01570e-002
-3.892250000000e-003	-2.01570e-002
-3.887050000000e-003	-2.01570e-002
-3.881850000000e-003	-2.01570e-002
-3.876650000000e-003	-2.41771e-002
-3.871450000000e-003	-2.01570e-002
-3.866250000000e-003	-2.41771e-002
-3.861050000000e-003	-2.41771e-002
-3.855850000000e-003	-2.41771e-002
-3.850650000000e-003	-2.41771e-002
-3.845450000000e-003	-1.61369e-002
-3.840250000000e-003	-1.61369e-002
-3.835050000000e-003	-1.61369e-002
-3.829850000000e-003	-2.01570e-002
-3.824650000000e-003	-1.61369e-002
-3.819450000000e-003	-2.01570e-002
-3.814250000000e-003	-2.01570e-002
-3.809050000000e-003	-2.01570e-002
-3.803850000000e-003	-2.01570e-002
-3.798650000000e-003	-2.01570e-002
-3.793450000000e-003	-1.61369e-002
-3.788250000000e-003	-1.61369e-002
-3.783050000000e-003	-2.41771e-002
-3.777850000000e-003	-1.61369e-002
-3.772650000000e-003	-2.41771e-002
-3.767450000000e-003	-2.01570e-002
-3.762250000000e-003	-2.01570e-002
-3.757050000000e-003	-2.01570e-002
-3.751850000000e-003	-1.61369e-002
-3.746650000000e-003	-2.01570e-002
-3.741450000000e-003	-2.01570e-002
-3.736250000000e-003	-2.01570e-002
-3.731050000000e-003	-2.01570e-002
-3.725850000000e-003	-2.41771e-002
-3.720650000000e-003	-1.61369e-002
-3.715450000000e-003	-2.41771e-002
-3.710250000000e-003	-2.41771e-002
-3.705050000000e-003	-2.01570e-002
-3.699850000000e-003	-1.61369e-002
-3.694650000000e-003	-1.61369e-002
-3.689450000000e-003	-2.01570e-002
-3.684250000000e-003	-2.41771e-002
-3.679050000000e-003	-2.41771e-002
-3.673850000000e-003	-1.61369e-002
-3.668650000000e-003	-2.01570e-002
-3.663450000000e-003	-2.01570e-002
-3.658250000000e-003	-1.61369e-002
-3.653050000000e-003	-2.01570e-002
-3.647850000000e-003	-1.61369e-002
-3.642650000000e-003	-2.01570e-002
-3.637450000000e-003	-1.61369e-002
-3.632250000000e-003	-1.61369e-002
-3.627050000000e-003	-2.41771e-002
-3.621850000000e-003	-2.01570e-002
-3.616650000000e-003	-2.01570e-002
-3.611450000000e-003	-2.01570e-002
-3.606250000000e-003	-2.01570e-002
-3.601050000000e-003	-2.01570e-002
-3.595850000000e-003	-1.61369e-002
-3.590650000000e-003	-2.01570e-002
-3.585450000000e-003	-1.61369e-002
-3.580250000000e-003	-1.61369e-002
-3.575050000000e-003	-1.61369e-002
-3.569850000000e-003	-2.41771e-002
-3.564650000000e-003	-2.01570e-002
-3.559450000000e-003	-1.61369e-002
-3.554250000000e-003	-2.01570e-002
-3.549050000000e-003	-2.01570e-002
-3.543850000000e-003	-1.61369e-002
-3.538650000000e-003	-1.61369e-002
-3.533450000000e-003	-1.61369e-002
-3.528250000000e-003	-2.01570e-002
-3.523050000000e-003	-1.61369e-002
-3.517850000000e-003	-2.01570e-002
-3.512650000000e-003	-2.41771e-002
-3.507450000000e-003	-2.41771e-002
-3.502250000000e-003	-1.61369e-002
-3.497050000000e-003	-2.01570e-002
-3.491850000000e-003	-2.41771e-002
-3.486650000000e-003	-1.61369e-002
-3.481450000000e-003	-2.41771e-002
-3.476250000000e-003	-2.01570e-002
-3.471050000000e-003	-1.61369e-002
-3.465850000000e-003	-2.01570e-002
-3.460650000000e-003	-2.01570e-002
-3.455450000000e-003	-1.61369e-002
-3.450250000000e-003	-2.01570e-002
-3.445050000000e-003	-1.61369e-002
-3.439850000000e-003	-2.41771e-002
-3.434650000000e-003	-2.01570e-002
-3.429450000000e-003	-1.61369e-002
-3.424250000000e-003	-2.01570e-002
-3.419050000000e-003	-1.61369e-002
-3.413850000000e-003	-2.01570e-002
-3.408650000000e-003	-1.61369e-002
-3.403450000000e-003	-2.01570e-002
-3.398250000000e-003	-2.01570e-002
-3.393050000000e-003	-2.01570e-002
-3.387850000000e-003	-2.01570e-002
-3.382650000000e-003	-1.61369e-002
-3.377450000000e-003	-2.01570e-002
-3.372250000000e-003	-2.01570e-002
-3.367050000000e-003	-1.61369e-002
-3.361850000000e-003	-2.01570e-002
-3.356650000000e-003	-2.01570e-002
-3.351450000000e-003	-1.61369e-002
-3.346250000000e-003	-1.61369e-002
-3.341050000000e-003	-2.01570e-002
-3.335850000000e-003	-2.01570e-002
-3.330650000000e-003	-2.01570e-002
-3.325450000000e-003	-2.01570e-002
-3.320250000000e-003	-2.01570e-002
-3.315050000000e-003	-2.01570e-002
-3.309850000000e-003	-1.61369e-002
-3.304650000000e-003	-2.41771e-002
-3.299450000000e-003	-1.61369e-002
-3.294250000000e-003	-2.41771e-002
-3.289050000000e-003	-2.01570e-002
-3.283850000000e-003	-1.61369e-002
-3.278650000000e-003	-2.01570e-002
-3.273450000000e-003	-2.01570e-002
-3.268250000000e-003	-2.01570e-002
-3.263050000000e-003	-2.01570e-002
-3.257850000000e-003	-1.61369e-002
-3.252650000000e-003	-2.01570e-002
-3.247450000000e-003	-2.41771e-002
-3.242250000000e-003	-2.01570e-002
-3.237050000000e-003	-2.41771e-002
-3.231850000000e-003	-2.01570e-002
-3.226650000000e-003	-1.61369e-002
-3.221450000000e-003	-2.01570e-002
-3.216250000000e-003	-2.01570e-002
-3.211050000000e-003	-2.01570e-002
-3.205850000000e-003	-2.41771e-002
-3.200650000000e-003	-2.01570e-002
-3.195450000000e-003	-2.01570e-002
-3.190250000000e-003	-2.01570e-002
-3.185050000000e-003	-2.41771e-002
-3.179850000000e-003	-1.61369e-002
-3.174650000000e-003	-2.01570e-002
-3.169450000000e-003	-2.01570e-002
-3.164250000000e-003	-2.41771e-002
-3.159050000000e-003	-1.61369e-002
-3.153850000000e-003	-2.01570e-002
-3.148650000000e-003	-2.01570e-002
-3.143450000000e-003	-2.01570e-002
-3.138250000000e-003	-1.61369e-002
-3.133050000000e-003	-2.01570e-002
-3.127850000000e-003	-2.01570e-002
-3.122650000000e-003	-1.61369e-002
-3.117450000000e-003	-2.41771e-002
-3.112250000000e-003	-2.01570e-002
-3.107050000000e-003	-1.61369e-002
-3.101850000000e-003	-1.61369e-002
-3.096650000000e-003	-2.01570e-002
-3.091450000000e-003	-2.01570e-002
-3.086250000000e-003	-1.61369e-002
-3.081050000000e-003	-2.81973e-002
-3.075850000000e-003	-2.01570e-002
-3.070650000000e-003	-1.61369e-002
-3.065450000000e-003	-2.01570e-002
-3.060250000000e-003	-1.61369e-002
-3.055050000000e-003	-1.61369e-002
-3.049850000000e-003	-2.41771e-002
-3.044650000000e-003	-2.41771e-002
-3.039450000000e-003	-1.61369e-002
-3.034250000000e-003	-2.01570e-002
-3.029050000000e-003	-2.01570e-002
-3.023850000000e-003	-2.01570e-002
-3.018650000000e-003	-2.01570e-002
-3.013450000000e-003	-1.61369e-002
-3.008250000000e-003	-1.61369e-002
-3.003050000000e-003	-2.01570e-002
-2.997850000000e-003	-2.01570e-002
-2.992650000000e-003	-2.01570e-002
-2.987450000000e-003	-2.41771e-002
-2.982250000000e-003	-1.61369e-002
-2.977050000000e-003	-1.61369e-002
-2.971850000000e-003	-1.61369e-002
-2.966650000000e-003	-2.01570e-002
-2.961450000000e-003	-1.61369e-002
-2.956250000000e-003	-2.01570e-002
-2.951050000000e-003	-2.01570e-002
-2.945850000000e-003	-2.41771e-002
-2.940650000000e-003	-2.01570e-002
-2.935450000000e-003	-2.41771e-002
-2.930250000000e-003	-2.01570e-002
-2.925050000000e-003	-2.01570e-002
-2.919850000000e-003	-1.61369e-002
-2.914650000000e-003	-2.01570e-002
-2.909450000000e-003	-2.41771e-002
-2.904250000000e-003	-2.01570e-002
-2.899050000000e-003	-2.01570e-002
-2.893850000000e-003	-1.61369e-002
-2.888650000000e-003	-2.41771e-002
-2.883450000000e-003	-2.01570e-002
-2.878250000000e-003	-2.41771e-002
-2.873050000000e-003	-2.01570e-002
-2.867850000000e-003	-1.61369e-002
-2.862650000000e-003	-2.01570e-002
-2.857450000000e-003	-2.01570e-002
-2.852250000000e-003	-2.01570e-002
-2.847050000000e-003	-2.01570e-002
-2.841850000000e-003	-2.01570e-002
-2.836650000000e-003	-2.01570e-002
-2.831450000000e-003	-2.01570e-002
-2.826250000000e-003	-1.61369e-002
-2.821050000000e-003	-2.01570e-002
-2.815850000000e-003	-2.41771e-002
-2.810650000000e-003	-2.01570e-002
-2.805450000000e-003	-1.61369e-002
-2.800250000000e-003	-2.01570e-002
-2.795050000000e-003	-1.61369e-002
-2.789850000000e-003	-1.61369e-002
-2.784650000000e-003	-2.01570e-002
-2.779450000000e-003	-2.01570e-002
-2.774250000000e-003	-2.01570e-002
-2.769050000000e-003	-2.01570e-002
-2.763850000000e-003	-1.61369e-002
-2.758650000000e-003	-1.61369e-002
-2.753450000000e-003	-2.01570e-002
-2.748250000000e-003	-2.01570e-002
-2.743050000000e-003	-2.01570e-002
-2.737850000000e-003	-2.01570e-002
-2.732650000000e-003	-2.01570e-002
-2.727450000000e-003	-1.61369e-002
-2.722250000000e-003	-2.01570e-002
-2.717050000000e-003	-2.01570e-002
-2.711850000000e-003	-2.41771e-002
-2.706650000000e-003	-1.61369e-002
-2.701450000000e-003	-1.61369e-002
-2.696250000000e-003	-2.01570e-002
-2.691050000000e-003	-2.01570e-002
-2.685850000000e-003	-1.61369e-002
-2.680650000000e-003	-1.61369e-002
-2.675450000000e-003	-2.01570e-002
-2.670250000000e-003	-2.01570e-002
-2.665050000000e-003	-2.01570e-002
-2.659850000000e-003	-2.41771e-002
-2.654650000000e-003	-2.01570e-002
-2.649450000000e-003	-2.01570e-002
-2.644250000000e-003	-2.01570e-002
-2.639050000000e-003	-2.01570e-002
-2.633850000000e-003	-1.61369e-002
-2.628650000000e-003	-2.01570e-002
-2.623450000000e-003	-2.01570e-002
-2.618250000000e-003	-1.61369e-002
-2.613050000000e-003	-2.01570e-002
-2.607850000000e-003	-2.41771e-002
-2.602650000000e-003	-1.61369e-002
-2.597450000000e-003	-2.01570e-002
-2.592250000000e-003	-1.61369e-002
-2.587050000000e-003	-1.61369e-002
-2.581850000000e-003	-1.61369e-002
-2.576650000000e-003	-1.61369e-002
-2.571450000000e-003	-1.61369e-002
-2.566250000000e-003	-1.61369e-002
-2.561050000000e-003	-1.61369e-002
-2.555850000000e-003	-2.01570e-002
-2.550650000000e-003	-2.01570e-002
-2.545450000000e-003	-2.41771e-002
-2.540250000000e-003	-2.01570e-002
-2.535050000000e-003	-2.41771e-002
-2.529850000000e-003	-2.01570e-002
-2.524650000000e-003	-2.01570e-002
-2.519450000000e-003	-2.01570e-002
-2.514250000000e-003	-2.01570e-002
-2.509050000000e-003	-2.41771e-002
-2.503850000000e-003	-2.41771e-002
-2.498650000000e-003	-2.41771e-002
-2.493450000000e-003	-1.61369e-002
-2.488250000000e-003	-1.61369e-002
-2.483050000000e-003	-1.61369e-002
-2.477850000000e-003	-2.01570e-002
-2.472650000000e-003	-2.01570e-002
-2.467450000000e-003	-1.61369e-002
-2.462250000000e-003	-2.41771e-002
-2.457050000000e-003	-2.01570e-002
-2.451850000000e-003	-1.61369e-002
-2.446650000000e-003	-2.01570e-002
-2.441450000000e-003	-1.61369e-002
-2.436250000000e-003	-2.01570e-002
-2.431050000000e-003	-2.01570e-002
-2.425850000000e-003	-2.01570e-002
-2.420650000000e-003	-2.01570e-002
-2.415450000000e-003	-2.41771e-002
-2.410250000000e-003	-1.61369e-002
-2.405050000000e-003	-2.41771e-002
-2.399850000000e-003	-2.01570e-002
-2.394650000000e-003	-2.41771e-002
-2.389450000000e-003	-2.01570e-002
-2.384250000000e-003	-2.01570e-002
-2.379050000000e-003	-2.01570e-002
-2.373850000000e-003	-2.01570e-002
-2.368650000000e-003	-1.61369e-002
-2.363450000000e-003	-2.01570e-002
-2.358250000000e-003	-2.41771e-002
-2.353050000000e-003	-1.61369e-002
-2.347850000000e-003	-2.41771e-002
-2.342650000000e-003	-2.01570e-002
-2.337450000000e-003	-2.01570e-002
-2.332250000000e-003	-2.01570e-002
-2.327050000000e-003	-2.01570e-002
-2.321850000000e-003	-2.41771e-002
-2.316650000000e-003	-1.61369e-002
-2.311450000000e-003	-2.01570e-002
-2.306250000000e-003	-1.61369e-002
-2.301050000000e-003	-2.41771e-002
-2.295850000000e-003	-2.01570e-002
-2.290650000000e-003	-2.01570e-002
-2.285450000000e-003	-2.41771e-002
-2.280250000000e-003	-2.01570e-002
-2.275050000000e-003	-2.41771e-002
-2.269850000000e-003	-2.01570e-002
-2.264650000000e-003	-2.01570e-002
-2.259450000000e-003	-2.01570e-002
-2.254250000000e-003	-2.41771e-002
-2.249050000000e-003	-1.61369e-002
-2.243850000000e-003	-1.61369e-002
-2.238650000000e-003	-2.01570e-002
-2.233450000000e-003	-2.01570e-002
-2.228250000000e-003	-2.01570e-002
-2.223050000000e-003	-2.01570e-002
-2.217850000000e-003	-1.61369e-002
-2.212650000000e-003	-2.41771e-002
-2.207450000000e-003	-1.61369e-002
-2.202250000000e-003	-1.61369e-002
-2.197050000000e-003	-1.61369e-002
-2.191850000000e-003	-1.61369e-002
-2.186650000000e-003	-1.61369e-002
-2.181450000000e-003	-2.41771e-002
-2.176250000000e-003	-2.41771e-002
-2.171050000000e-003	-2.01570e-002
-2.165850000000e-003	-2.01570e-002
-2.160650000000e-003	-1.61369e-002
-2.155450000000e-003	-1.61369e-002
-2.150250000000e-003	-2.01570e-002
-2.145050000000e-003	-2.01570e-002
-2.139850000000e-003	-1.61369e-002
-2.134650000000e-003	-2.01570e-002
-2.129450000000e-003	-2.41771e-002
-2.124250000000e-003	-2.01570e-002
-2.119050000000e-003	-2.01570e-002
-2.113850000000e-003	-1.61369e-002
-2.108650000000e-003	-2.41771e-002
-2.103450000000e-003	-2.01570e-002
-2.098250000000e-003	-2.01570e-002
-2.093050000000e-003	-2.01570e-002
-2.087850000000e-003	-2.01570e-002
-2.082650000000e-003	-2.01570e-002
-2.077450000000e-003	-2.01570e-002
-2.072250000000e-003	-1.61369e-002
-2.067050000000e-003	-1.61369e-002
-2.061850000000e-003	-1.61369e-002
-2.056650000000e-003	-1.61369e-002
-2.051450000000e-003	-2.41771e-002
-2.046250000000e-003	-1.21168e-002
-2.041050000000e-003	-1.61369e-002
-2.035850000000e-003	-2.41771e-002
-2.030650000000e-003	-1.61369e-002
-2.025450000000e-003	-2.41771e-002
-2.020250000000e-003	-2.01570e-002
-2.015050000000e-003	-1.61369e-002
-2.009850000000e-003	-2.01570e-002
-2.004650000000e-003	-1.61369e-002
-1.999450000000e-003	-1.61369e-002
-1.994250000000e-003	-1.61369e-002
-1.989050000000e-003	-2.01570e-002
-1.983850000000e-003	-1.61369e-002
-1.978650000000e-003	-2.01570e-002
-1.973450000000e-003	-2.01570e-002
-1.968250000000e-003	-1.61369e-002
-1.963050000000e-003	-1.61369e-002
-1.957850000000e-003	-1.61369e-002
-1.952650000000e-003	-2.01570e-002
-1.947450000000e-003	-1.61369e-002
-1.942250000000e-003	-2.01570e-002
-1.937050000000e-003	-2.01570e-002
-1.931850000000e-003	-2.01570e-002
-1.926650000000e-003	-1.61369e-002
-1.921450000000e-003	-2.01570e-002
-1.916250000000e-003	-2.01570e-002
-1.911050000000e-003	-2.01570e-002
-1.905850000000e-003	-2.01570e-002
-1.900650000000e-003	-1.61369e-002
-1.895450000000e-003	-1.61369e-002
-1.890250000000e-003	-1.61369e-002
-1.885050000000e-003	-2.01570e-002
-1.879850000000e-003	-1.61369e-002
-1.874650000000e-003	-1.61369e-002
-1.869450000000e-003	-1.61369e-002
-1.864250000000e-003	-1.21168e-002
-1.859050000000e-003	-2.41771e-002
-1.853850000000e-003	-2.01570e-002
-1.848650000000e-003	-1.61369e-002
-1.843450000000e-003	-1.61369e-002
-1.838250000000e-003	-2.01570e-002
-1.833050000000e-003	-2.01570e-002
-1.827850000000e-003	-2.01570e-002
-1.822650000000e-003	-1.61369e-002
-1.817450000000e-003	-2.01570e-002
-1.812250000000e-003	-1.61369e-002
-1.807050000000e-003	-2.01570e-002
-1.801850000000e-003	-1.61369e-002
-1.796650000000e-003	-2.01570e-002
