# Linearisation-Deviation-Summary-File "iterative_03"
# Laser: Blau

# Iteration	Max. deviation [MHz]	FSR [MHz]	FSR_error [MHz]	Timebase
1	231.306761	8000	164.074078	01.08.2011 17:18:50
2	13.954476	8164	-4.577395	01.08.2011 17:20:14
3	10.960936	8159	2.333828	01.08.2011 17:21:38
4	10.042851	8161	1.478952	01.08.2011 17:23:01
5	8.560719	8161	0.075346	01.08.2011 17:24:23
