# 16:11 - 17:16 -> 65 min
# Number	beat-frequency [MHz]	sigma [MHz]
264	8.30814	0.222644
265	9.26693	0.471792
266	12.8748	0.257694
267	13.3998	0.264635
268	8.694	0.287635
269	11.0218	0.200477
270	14.6677	0.269375
271	11.9945	0.325175
272	12.017	0.248724
273	12.7006	0.291666
274	8.10828	0.327905
275	12.7873	0.35367
276	11.5069	0.249166
277	5.29225	0.367746
278	10.005	0.383903
279	9.21175	0.320957
280	14.4922	0.14448
281	9.56947	0.172793
282	7.75744	0.273263
283	12.2187	0.242798
284	9.01852	0.288635
285	7.10632	0.274286
286	9.40895	0.226218
287	7.78361	0.38074
288	12.7792	0.18896
289	15.5775	0.160546
290	8.2085	0.352371
291	3.42013	0.436496
292	10.4945	0.233585
293	11.0539	0.319593
294	12.7968	0.280044
295	11.2557	0.30174
296	9.49371	0.191092
297	13.606	0.32226
298	16.5072	0.458062
299	11.0678	0.349634
300	13.0735	0.39875
301	11.4908	0.320748
302	10.6664	0.215073
303	11.5005	0.266464
304	12.3758	0.188811
305	12.0865	0.279863
306	8.85768	0.43832
307	11.9883	0.254996
308	12.0349	0.279097
309	11.1339	0.192709
310	11.4434	0.22239
311	11.6154	0.238499
312	13.5794	0.303842
313	10.7948	0.277288
314	13.5327	0.195073
315	12.5352	0.255135
316	9.97873	0.211286
317	9.13846	0.265396
318	10.3836	0.282318
319	11.5019	0.156104
320	6.29969	0.492842
321	12.0309	0.281889
322	12.2079	0.25266
323	14.8245	0.191112
324	7.88448	0.311662
325	13.9997	0.296471
326	10.4823	0.267644
327	5.68622	0.272424
328	7.61036	0.329889
329	8.78884	0.277807
330	15.0067	0.221209
331	14.4543	0.207663
332	11.3343	0.224531
333	6.77724	0.34952
334	12.555	0.274975
335	9.66651	0.221289
336	14.5696	0.213064
337	13.1855	0.26472
338	14.3107	0.225787
339	8.91522	0.270962
340	8.93424	0.300745
341	14.7306	0.203595
342	14.1398	0.244334
343	11.1109	0.195143
344	15.0795	0.124024
345	12.5236	0.424027
346	14.7933	0.286438
347	10.3571	0.369673
348	8.78815	0.242987
349	12.6525	0.162191
350	14.7425	0.201044
351	15.0131	0.297432
352	5.68287	0.331787
353	15.5159	0.179502
354	10.1883	0.234369
355	10.215	0.2234
356	4.88729	0.39321
357	12.4746	0.189993
358	10.7709	0.270579
359	14.3183	0.232487
360	13.9892	0.310029
361	10.5553	0.238408
362	11.9515	0.202798
363	18.2651	0.0655726
364	11.3321	0.378302
365	12.0192	0.231524
366	9.3609	0.263508
367	12.7997	0.235553
368	12.2888	0.264893
369	3.40496	0.377165
370	6.53725	0.323569
371	8.59559	0.374026
372	9.11872	0.326504
373	10.3512	0.236601
374	10.7937	0.213117
375	6.78997	0.37733
376	5.69519	0.39318
377	7.44495	0.240227
378	8.92775	0.361102
379	16.074	0.207973
380	15.8458	0.211464
381	9.80328	0.309397
382	9.91446	0.288345
383	12.9704	0.174633
384	11.6451	0.217545
385	15.4563	0.207135
386	10.3553	0.310233
387	7.01178	0.31139
388	2.12884	0.279746
389	6.67755	0.45608
390	6.73672	0.364859
391	5.47003	0.268554
392	13.7694	0.286723
393	11.1111	0.383182
394	12.0251	0.488149
395	14.8023	0.226992
396	8.26157	0.418121
397	8.12897	0.289162
398	7.13068	0.278382
399	13.4662	0.220696
400	11.3071	0.309415
401	1.41944	0.248199
402	2.62635	0.377729
403	5.14286	0.248877
404	3.62285	0.470379
405	9.09282	0.412724
406	6.13368	0.327565
407	13.0498	0.229024
408	4.19873	0.316658
409	11.816	0.397751
410	5.63485	0.258893
411	12.6744	0.486595
412	12.2074	0.24912
413	10.5224	0.398625
414	14.2181	0.5732
415	18.0786	0.15256
416	9.48077	0.291881
417	5.87061	0.316929
418	9.76063	0.618501
419	8.15779	0.345769
420	17.3447	0.156114
421	15.3012	0.23137
422	11.604	0.228375
423	12.5783	0.231387
424	13.2544	0.202127
425	9.2228	0.403317
426	12.2586	0.201899
428	6.46872	0.274701
429	10.1371	0.207594
430	14.1508	0.227017
431	12.1699	0.301622
432	12.5857	0.339227
433	14.1399	0.277036
434	15.1326	0.201815
435	16.1538	0.244782
436	16.7238	0.257954
437	10.7802	0.214144
438	15.278	0.368269
439	13.0426	0.462889
440	13.8697	0.243381
441	16.6931	0.445596
442	14.3668	0.149706
443	15.6419	0.170941
444	11.3949	0.242043
445	13.5302	0.299599
446	9.44552	0.329939
447	13.5733	0.347707
448	10.0506	0.347347
449	8.14276	0.336868
450	11.5249	0.232034
451	11.5413	0.287691
452	8.81745	0.459494
453	15.8478	0.183002
454	5.60701	0.346635
455	10.6326	0.494662
456	12.1622	0.260684
457	16.2493	0.274579
458	13.378	0.252537
459	11.5804	0.273906
460	13.3633	0.267458
461	12.8974	0.196156
462	19.6736	0.240797
463	10.7585	0.294236
464	9.46866	0.374804
465	12.0126	0.233054
466	12.8928	0.151761
467	7.88363	0.241877
468	8.85082	0.460056
469	14.4848	0.275903
470	11.206	0.308215
471	4.78643	0.454682
472	10.081	0.235102
473	10.2042	0.217853
474	8.00102	0.433556
475	13.9304	0.21616
476	16.4646	0.1995
477	14.5919	0.300926
478	16.5028	0.191317
479	11.2663	0.285379
480	18.6456	0.29221
481	10.6246	0.245708
482	14.2118	0.225496
483	13.9412	0.408611
484	11.6225	0.278596
485	14.4145	0.231676
486	10.1758	0.280464
487	14.0732	0.341796
488	10.5851	0.368633
489	16.1561	0.228304
490	9.9206	0.213131
491	11.3879	0.37794
492	9.99903	0.207564
493	7.44537	0.258853
494	10.0499	0.334594
495	10.661	0.251906
496	8.73548	0.242659
497	11.5262	0.280755
498	10.3152	0.366445
499	16.7937	0.343921
500	19.2653	0.186844
501	19.3542	0.157352
502	13.676	0.300006
503	7.55825	0.396719
504	9.76389	0.282199
505	14.5209	0.334912
506	11.1804	0.209984
507	13.1228	0.222461
508	16.9103	0.295328
509	11.7835	0.177586
510	9.12435	0.261736
511	17.4358	0.140908
512	12.5959	0.21128
513	13.385	0.205766
514	12.0535	0.25691
515	10.1446	0.250255
516	13.649	0.168383
517	11.4798	0.311527
518	14.8411	0.270114
519	10.178	0.164049
520	13.8038	0.297559
521	18.9559	0.167361
522	14.1095	0.415213
523	10.0546	0.212331
524	12.643	0.190668
525	16.755	0.147023
526	14.2745	0.304493
527	11.6512	0.282313
528	14.9401	0.165197
529	8.08547	0.250623
530	13.2556	0.285434
531	16.5854	0.19867
532	13.9494	0.304169
533	14.0448	0.257296
534	14.3155	0.308608
535	11.3233	0.215545
536	17.0856	0.201886
537	11.9668	0.353123
538	14.9873	0.210478
539	7.41603	0.203914
540	8.40479	0.376772
541	10.0455	0.331016
542	13.8507	0.366051
543	10.4271	0.133859
544	15.3986	0.263738
545	9.87739	0.238037
546	6.77657	0.485159
547	16.7174	0.229264
548	18.3479	0.181315
549	14.1061	0.168766
550	13.5023	0.222419
551	18.1044	0.236193
552	14.8472	0.202912
