-300,000000 227,000000 
-298,998331 0,000000 
-297,996661 0,000000 
-296,994992 0,000000 
-295,993322 0,000000 
-294,991653 2,000000 
-293,989983 1,000000 
-292,988314 0,000000 
-291,986644 2,000000 
-290,984975 0,000000 
-289,983306 0,000000 
-288,981636 0,000000 
-287,979967 0,000000 
-286,978297 0,000000 
-285,976628 0,000000 
-284,974958 2,000000 
-283,973289 2,000000 
-282,971619 1,000000 
-281,969950 1,000000 
-280,968280 0,000000 
-279,966611 0,000000 
-278,964942 1,000000 
-277,963272 0,000000 
-276,961603 0,000000 
-275,959933 0,000000 
-274,958264 0,000000 
-273,956594 0,000000 
-272,954925 0,000000 
-271,953255 1,000000 
-270,951586 0,000000 
-269,949917 0,000000 
-268,948247 0,000000 
-267,946578 1,000000 
-266,944908 0,000000 
-265,943239 0,000000 
-264,941569 1,000000 
-263,939900 0,000000 
-262,938230 0,000000 
-261,936561 0,000000 
-260,934891 0,000000 
-259,933222 1,000000 
-258,931553 0,000000 
-257,929883 0,000000 
-256,928214 0,000000 
-255,926544 1,000000 
-254,924875 0,000000 
-253,923205 0,000000 
-252,921536 1,000000 
-251,919866 0,000000 
-250,918197 0,000000 
-249,916528 0,000000 
-248,914858 0,000000 
-247,913189 0,000000 
-246,911519 0,000000 
-245,909850 0,000000 
-244,908180 0,000000 
-243,906511 0,000000 
-242,904841 3,000000 
-241,903172 0,000000 
-240,901503 0,000000 
-239,899833 0,000000 
-238,898164 1,000000 
-237,896494 0,000000 
-236,894825 0,000000 
-235,893155 0,000000 
-234,891486 0,000000 
-233,889816 0,000000 
-232,888147 1,000000 
-231,886477 0,000000 
-230,884808 1,000000 
-229,883139 1,000000 
-228,881469 1,000000 
-227,879800 0,000000 
-226,878130 0,000000 
-225,876461 0,000000 
-224,874791 0,000000 
-223,873122 0,000000 
-222,871452 1,000000 
-221,869783 0,000000 
-220,868114 1,000000 
-219,866444 1,000000 
-218,864775 0,000000 
-217,863105 0,000000 
-216,861436 1,000000 
-215,859766 0,000000 
-214,858097 2,000000 
-213,856427 0,000000 
-212,854758 0,000000 
-211,853088 0,000000 
-210,851419 0,000000 
-209,849750 1,000000 
-208,848080 0,000000 
-207,846411 0,000000 
-206,844741 0,000000 
-205,843072 2,000000 
-204,841402 0,000000 
-203,839733 2,000000 
-202,838063 0,000000 
-201,836394 1,000000 
-200,834725 1,000000 
-199,833055 0,000000 
-198,831386 1,000000 
-197,829716 2,000000 
-196,828047 0,000000 
-195,826377 1,000000 
-194,824708 0,000000 
-193,823038 0,000000 
-192,821369 2,000000 
-191,819699 0,000000 
-190,818030 0,000000 
-189,816361 2,000000 
-188,814691 0,000000 
-187,813022 1,000000 
-186,811352 0,000000 
-185,809683 1,000000 
-184,808013 0,000000 
-183,806344 0,000000 
-182,804674 0,000000 
-181,803005 1,000000 
-180,801336 0,000000 
-179,799666 0,000000 
